,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
,,,rcp2p6,rcp2p6,rcp2p6,rcp4p5,rcp4p5,rcp4p5,rcp6p0,rcp6p0,rcp6p0,rcp8p5,rcp8p5,rcp8p5,rcp2p6,rcp2p6,rcp2p6,rcp4p5,rcp4p5,rcp4p5,rcp6p0,rcp6p0,rcp6p0,rcp8p5,rcp8p5,rcp8p5
,,,YR_2020,YR_2050,YR_2080,YR_2020,YR_2050,YR_2080,YR_2020,YR_2050,YR_2080,YR_2020,YR_2050,YR_2080,YR_2020,YR_2050,YR_2080,YR_2020,YR_2050,YR_2080,YR_2020,YR_2050,YR_2080,YR_2020,YR_2050,YR_2080
LU_ID,LU_DESC,IRRIGATION,,,,,,,,,,,,,,,,,,,,,,,,
5,Winter cereals,0,1.0249753,1.095311,1.0479033,1.0689491,1.0306815,1.0511134,1.1005635,1.0399683,1.0406374,1.0605825,1.0618011,1.0027106,1.0624818,1.1507355,1.0925126,1.1090659,1.1111186,1.145185,1.1322169,1.1078327,1.1671463,1.0904062,1.1636845,1.1718527
5,Winter cereals,1,0.98383063,0.980078,0.97796154,0.9848698,0.966539,0.9643262,0.9802509,0.97785693,0.95369124,0.9838004,0.9574413,0.9187064,1.022752,1.0292574,1.0194018,1.0237944,1.0488789,1.0699093,1.016716,1.0593654,1.1091068,1.02579,1.0777622,1.1294855
6,Summer cereals,0,1.0521787,1.166693,1.0733514,1.1249334,1.085347,1.0516325,1.1572112,1.061818,1.117953,1.0907072,1.1386706,1.0584264,1.0931666,1.2377728,1.1293398,1.156418,1.1530361,1.1337223,1.1922255,1.1238288,1.2442695,1.125003,1.217022,1.1767156
6,Summer cereals,1,0.9752871,0.9688631,0.9710065,0.975637,0.9494696,0.94110155,0.9730671,0.96312857,0.93906313,0.977304,0.94696754,0.8898943,1.0110595,1.016951,1.0111599,1.0116081,1.0264223,1.0350268,1.0072864,1.0389282,1.0748752,1.0174683,1.0587964,1.087083
7,Rice,1,0.9616098,0.9539776,0.95646876,0.9677806,0.9419372,0.92850244,0.96240616,0.949881,0.90839565,0.98691136,0.95793694,0.9186035,0.99591243,0.99513173,0.9908035,1.001902,1.014132,1.0215917,0.993422,1.0233101,1.0651283,1.0029556,1.0264865,1.0567759
8,Winter legumes,0,1.0152179,1.0671473,1.0057483,1.0268815,0.99081355,1.0011734,1.0765353,0.9850149,0.9841814,1.038797,1.018609,0.9475951,1.0509708,1.1172777,1.0471064,1.0715648,1.0655246,1.0875351,1.1148144,1.0487082,1.091166,1.1044748,1.1098529,1.1053725
8,Winter legumes,1,1.0584884,1.0665057,1.0699482,1.0673615,1.0720372,1.0726786,1.0533252,1.0661154,1.0566535,1.0429684,1.0343256,1.0066918,1.1290861,1.1451038,1.1452346,1.0871689,1.1250232,1.1402072,1.0511155,1.0831596,1.129316,1.0578505,1.1103277,1.173347
